sample,dgg,block,germination_date,coleptile_colour,erect_1_5,pigment_1_3,anthesis_date,main_length,main_flag_leaf_width,main_number_of_spikes,number_of_tillers,spike_angle_1_3,weight_10_seeds,seed_area,seed_length,seed_width
1988B106,G58,2,345,1,2,2,481,77.5,0,14,5,3,0.448,25.2056,12.0081,2.9566
1984A22,G6,2,345,1,1,2,480,78,0,13,4,1,0.4507,21.3242727272727,11.1747272727273,2.687
1988B111,G60,2,345,1,3,2,481,81.5,-0.35667494393873245,13,4,3,0.4841,23.4479,11.4178,2.9182
1988B113,G61,2,345,1,3,2,481,90,-0.2231435513142097,13,3,2,0.4015,22.0096,10.8752,2.8547
1988B114,G62,2,345,1,3,2,480,90,-0.10536051565782628,15,6,3,0.4033,23.1002,10.7509,3.0216
1988B120,G63,2,345,1,2,3,485,71,-0.10536051565782628,13,5,1,0.3984,22.758,11.194,2.8248
2014B132,G64,2,345,1,2,3,486,79,-0.5108256237659907,12,5,3,0.4355,24.4661,11.9785,2.9294
2014A31,G65,2,346,NA,2,2,488,68.5,-0.5108256237659907,12,5,2,0.3787,22.8007,11.5014,2.7523
1996D196,G66,2,345,1,4,2,480,84.5,0,12,3,3,0.4782,26.6494,12.7767,3.0318
2014D215,G67,2,345,1,2,3,482,75.5,-0.10536051565782628,11,5,2,0.4397,24.181,11.5907,2.9141
1988D219,G68,2,345,1,2,3,482,87,-0.10536051565782628,15,5,1,0.4429,23.0948,11.2463,2.9277
1996D220,G69,2,345,1,3,3,481,89,-0.10536051565782628,14,4,2,0.4119,23.3447,11.521,2.8613
1984A24,G7,2,345,1,2,2,483,60,-0.2231435513142097,14,3,1,0.3823,22.5927,10.8358,2.9429
1988D227,G70,2,345,1,2,2,481,86.5,-0.10536051565782628,12,4,3,0.4821,25.2474,11.7268,3.0546
1992A31,G71,2,346,NA,1,2,482,61.5,-0.2231435513142097,12,4,2,0.4072,22.873,11.0065,2.8739
1992A41,G72,2,345,1,1,2,486,77,0,18,4,1,0.354,21.6553,10.7582,2.7605
2002B108,G75,2,345,1,2,2,479,90.5,-0.35667494393873245,13,4,3,0.4061,23.7879,11.3656,2.9104
1992B112,G77,2,345,1,1,2,479,72.5,-0.2231435513142097,11,4,3,0.411,24.0677,10.9449,3.088
1996B131,G78,2,345,1,2,2,481,89,-0.2231435513142097,13,4,3,0.3945,23.9207,11.8589,2.8333
1996B132,G79,2,344,1,2,2,474,77.5,-0.10536051565782628,12,5,3,0.4192,24.0618,11.703,2.9778
2016A25,G8,2,NA,NA,4,1,486,71.5,0.09531017980432493,12,4,1,0.4425,24.7664,11.2598,3.045
1992D196,G80,2,345,1,4,2,481,104.5,0,13,3,2,0.4468,NA,NA,NA
1996A41,G81,2,344,1,2,1,483,74,-0.35667494393873245,13,5,3,0.3728,26.922,12.9561,3.0435
1996B121,G84,2,380,NA,4,2,487,85,0,15,4,2,0.399,NA,NA,NA
1996B128,G85,2,345,1,2,2,482,89,-0.2231435513142097,13,4,3,0.2668,25.0881,11.9167,3.0365
1996B134,G86,2,344,1,2,3,481,77,-0.2231435513142097,11,4,1,0.4808,18.1837,9.9252,2.5235
1996D219,G88,2,345,1,3,3,477,86.5,-0.10536051565782628,13,5,2,0.4608,21.6382,10.7666,2.9011
1984A31,G9,2,345,0,3,2,483,64.5,-0.10536051565782628,14,5,3,0.38,22.2651,11.1562,2.8894
1996D223,G89,2,344,1,1,2,480,64.5,-0.10536051565782628,14,5,3,0.3518,22.8095,11.4097,2.8952
2002A14,G90,2,345,1,2,2,484,71,0.09531017980432493,15,3,3,0.4516,21.7479,10.8188,2.8268
2002B133,G93,2,346,0,4,3,483,74.5,0.09531017980432493,12,3,2,0.4028,NA,NA,NA
2002D196,G95,2,346,1,2,2,487,76,-0.10536051565782628,10,4,3,0.466,24.4176,11.9501,2.9418
2002D220,G96,2,345,1,1,3,489,75,-0.10536051565782628,13,5,2,0.4023,NA,NA,NA
2002D225,G97,2,345,1,3,3,475,76,0,13,4,1,0.4089,27.068,12.6492,3.0303
2002A10,G1,3,344,1,1,3,482,78.5,-0.10536051565782628,12,4,3,0.4632,24.4879,12.1383,2.8406
1992A35,G10,3,345,0,2,1,474,98,0.1823215567939546,14,5,3,0.4034,21.3671,10.3687,2.9629
2014A35,G98,3,346,1,1,2,480,80.5,-0.35667494393873245,13,3,2,0.4772,24.2717,11.3252,3.0614
2014A57,G100,3,345,1,3,2,488,70,0,15,2,1,0.3962,26.3829,12.5335,2.9491
2014D194,G87,3,344,0,3,1,473,96,0.1823215567939546,13,5,3,0.4652,25.3985,12.0053,3.0121000000000002
2018D220,G101,3,344,1,1,2,481,87,-0.2231435513142097,14,4,3,0.3993,NA,NA,NA
2018A35,G102,3,345,1,2,2,483,83,-0.2231435513142097,13,4,2,0.4231,23.7699,10.7752,3.0361
2016A41,G103,3,345,1,1,2,483,75.5,-0.2231435513142097,14,4,3,0.4434,22.2673636363636,10.9057272727273,2.87036363636364
2018A51,G104,3,345,1,2,2,484,82,-0.2231435513142097,14,5,3,0.3763,23.5577,12.1731,2.8256
2016B124,G106,3,345,1,2,2,482,82,-0.2231435513142097,13,4,3,0.4175,23.6723,11.2271,2.9594
1992A77,G11,3,345,1,2,2,477,94.5,-0.10536051565782628,19,4,3,0.3844,22.6589,11.3197,2.8436
2018C151,G107,3,345,0,4,2,482,80,0.26236426446749106,13,4,3,0.4049,23.7238,11.2406,2.9401
2016D212,G108,3,345,1,1,2,482,87,-0.6931471805599453,13,3,1,0.4442,NA,NA,NA
2016D217,G109,3,345,1,2,3,484,71,0.09531017980432493,12,5,2,0.3936,23.7971,11.081,3.002
2018B116,G110,3,346,1,1,2,483,75.5,0,16,4,1,0.4094,21.69,10.4437,2.9452
2018B142,G111,3,346,1,2,2,483,79,-0.10536051565782628,15,4,1,0.3639,23.5709,11.4689,2.8687
1984A41,G12,3,NA,1,2,2,483,81.5,-0.2231435513142097,14,3,3,0.447,25.3116,11.5162,3.0604
2002A47,G13,3,356,1,3,2,479,87.5,0.09531017980432493,14,6,3,0.464,24.543,11.8441,2.9825
1992A54,G14,3,345,1,2,2,482,72.5,-0.2231435513142097,13,5,3,0.4008,23.8645,12.0669,2.8217
1984A56,G15,3,344,1,1,2,482,80,-0.10536051565782628,13,4,2,0.348,20.5255,10.7018,2.6891
2002A59,G16,3,344,0,5,2,474,102,0.47000362924573563,13,3,3,0.6147,29.5757,11.652,3.6279
1988A41,G17,3,346,0,2,2,486,82.5,-0.2231435513142097,16,5,3,0.3665,19.3753636363636,10.5746363636364,2.61345454545455
